,date_effet_grille,ib,code_grade_NETNEH,echelon,max_mois,min_mois,moy_mois,libelle_FP,libelle_grade_NEG,code_grade_NEG,code_grade
7715,2008-01-07,302,TTH3,02,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7716,2008-01-07,307,TTH3,03,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7717,2008-01-07,322,TTH3,04,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7718,2008-01-07,336,TTH3,05,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7719,2008-01-07,351,TTH3,06,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7720,2008-01-07,364,TTH3,07,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7721,2008-01-07,380,TTH3,08,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7722,2008-01-07,398,TTH3,09,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7723,2008-01-07,427,TTH3,10,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7724,2008-01-07,446,TTH3,11,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7725,2014-01-02,340,TTH3,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7726,2014-01-02,341,TTH3,02,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7727,2014-01-02,342,TTH3,03,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7728,2014-01-02,347,TTH3,04,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7729,2014-01-02,350,TTH3,05,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7730,2014-01-02,359,TTH3,06,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7731,2014-01-02,368,TTH3,07,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
