,c_netneh,transition,population,cdf
annees_2011_2014,TCP2,0,683158,0.990323745022
annees_2011_2014,2802,1,683204,0.990390427828
annees_2011_2014,0340,1,683250,0.990457110634
annees_2011_2014,4223,0,683296,0.99052379344
annees_2011_2014,TCM2,0,683342,0.990590476246
annees_2011_2014,TAR2,3,683387,0.990655709425
annees_2011_2014,TTT2,3,683432,0.990720942605
annees_2011_2014,2642,1,683477,0.990786175785
annees_2011_2014,TRC1,2,683522,0.990851408964
annees_2011_2014,2650,0,683567,0.990916642144
annees_2011_2014,5865,1,683612,0.990981875323
annees_2011_2014,TOP2,2,683657,0.991047108503
annees_2011_2014,TPC2,1,683702,0.991112341683
annees_2011_2014,TNJ2,3,683746,0.991176125236
annees_2011_2014,TCJ3,2,683789,0.991238459163
annees_2011_2014,TMM1,2,683832,0.991300793091
annees_2011_2014,2335,2,683874,0.991361677391
annees_2011_2014,5725,1,683915,0.991421112066
annees_2011_2014,TTG1,3,683955,0.991479097115
annees_2011_2014,TCS1,3,683995,0.991537082163
annees_2011_2014,TNN2,2,684035,0.991595067212
annees_2011_2014,6013,0,684075,0.99165305226
annees_2011_2014,2437,0,684115,0.991711037309
annees_2011_2014,2611,3,684155,0.991769022358
annees_2011_2014,TRC2,1,684194,0.99182555778
annees_2011_2014,TTG3,1,684233,0.991882093202
annees_2011_2014,TAT3,1,684272,0.991938628625
